PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,SortKey,GameID,PGN
Soy9h,r3k3/pp2npp1/3p4/3P1q2/1P6/PQ2P3/1B1K1p2/2R2B1r b q - 0 26,f5d5 b3d5 e7d5 f1b5 e8e7 c1h1,1582,75,96,13855,advantage discoveredAttack long middlegame,https://lichess.org/fflv8PcG/black#51,,1330080,fflv8PcG,1. g4 e5 2. h4 d5 3. g5 Bc5 4. Bg2 Ne7 5. e3 Nbc6 6. c3 Bf5 7. b4 Bd6 8. Ne2 Qd7 9. a3 h6 10. d4 e4 11. gxh6 Rxh6 12. Ng3 Bg4 13. Qb3 Nf5 14. Nxf5 Qxf5 15. Nd2 Be7 16. Bb2 Bf3 17. Nxf3 exf3 18. Bf1 Bxh4 19. c4 Bxf2+ 20. Kxf2 Rxh1 21. cxd5 Ne7 22. d6 Rh2+ 23. Ke1 f2+ 24. Kd2 cxd6 25. Rc1 Rh1 26. d5 *
o3Tlj,5rk1/5pp1/1qppN3/7p/2P1PRn1/1P1P4/1P4PP/2Q3K1 w - - 0 28,d3d4 f7e6 f4f8 g8f8,1403,73,95,13224,advantage endgame hangingPiece pin short,https://lichess.org/JJKhOI6p#54,,1256280,JJKhOI6p,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bc4 Bc5 5. O-O Nf6 6. d3 h6 7. Bb3 d6 8. Nc3 Na5 9. Bd2 Nxb3 10. axb3 Be6 11. Na4 Ba7 12. Qc1 Qd7 13. c4 Bg4 14. Ne1 h5 15. Be3 b6 16. f3 Be6 17. f4 exf4 18. Rxf4 Qe7 19. Nc3 Ng4 20. Nd5 Qh4 21. Nf3 Qd8 22. Rxa6 c6 23. Nxb6 Bxb6 24. Rxa8 Qxa8 25. Bxb6 O-O 26. Ng5 Qb8 27. Nxe6 Qxb6+ *
rSju2,r1q1r3/2P2pk1/8/p1RQp1n1/7N/4P1P1/1P2BP1p/R3B1K1 w - - 0 29,g1f1 c8h3 d5g2 h2h1q,1402,76,95,13816,advancedPawn mate mateIn2 middlegame promotion short,https://lichess.org/MsaJqBHn#56,,1312520,MsaJqBHn,1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. Nc3 Bb4 5. Bd2 d5 6. e3 Ba6 7. Qa4+ b5 8. cxb5 O-O 9. Qxb4 Bb7 10. a4 a6 11. Bd3 c6 12. O-O cxb5 13. axb5 a5 14. Qb3 Nbd7 15. Rfc1 h5 16. Na4 Re8 17. Nc5 Nxc5 18. dxc5 e5 19. Be2 Ne4 20. Be1 h4 21. h3 g5 22. c6 Bxc6 23. bxc6 g4 24. c7 Qc8 25. Nxh4 gxh3 26. g3 Kg7 27. Qxd5 Ng5 28. Rc5 h2+ *
VKumJ,5k1r/p3bpp1/1pqp4/8/4b1P1/2P1BN2/P1P2PK1/1R1Q1R2 w - - 3 19,f1h1 h8h1 g2h1 e4f3 h1g1 f3d1,1594,73,95,19032,attraction crushing fork long middlegame,https://lichess.org/BSNkFhUM#36,Scotch_Game Scotch_Game_Other_variations,1808040,BSNkFhUM,1. e4 e5 2. Nf3 Nc6 3. d4 d6 4. Nc3 Bg4 5. h3 Bh5 6. g4 Bg6 7. Be3 Nf6 8. Bc4 Nxe4 9. Bd5 Nxc3 10. bxc3 Be7 11. Rb1 b6 12. Bxc6+ Kf8 13. Bxa8 Qxa8 14. O-O h5 15. dxe5 hxg4 16. exd6 cxd6 17. hxg4 Be4 18. Kg2 Qc6 *
45Dov,rn2k2r/ppp1ppbp/6p1/3NP2n/5B2/5P2/PPP2P1P/3RKB1R b Kkq - 2 10,h5f4 d5c7 e8f8 d1d8,1625,73,95,19079,backRankMate fork mate mateIn2 middlegame short,https://lichess.org/3S6XfX6P/black#19,Pirc_Defense Pirc_Defense_Classical_Variation,1812505,3S6XfX6P,1. Nf3 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Bf4 Bg4 6. e5 dxe5 7. dxe5 Qxd1+ 8. Rxd1 Bxf3 9. gxf3 Nh5 10. Nd5 *
eiZ0M,3r3r/2p1k2p/6p1/1pq1b3/4Q3/8/P1P3PP/4RR1K b - - 1 26,e7e6 e4g4 e6e7 g4g5 e7d7 e1e5,1597,78,96,16192,advantage exposedKing long middlegame,https://lichess.org/VmeTinIF/black#51,,1554432,VmeTinIF,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Nf6 5. e5 d5 6. Bb5 Ne4 7. O-O Bc5 8. b4 Bxb4 9. Nxd4 Bd7 10. Nb3 a6 11. Qxd5 Nc3 12. Nxc3 Bxc3 13. e6 fxe6 14. Qh5+ g6 15. Qg4 axb5 16. Bg5 Bf6 17. Nc5 Bxg5 18. Nxe6 Bxe6 19. Qxe6+ Qe7 20. Qd5 Bf6 21. Rae1 Ne5 22. f4 Rd8 23. Qxb7 Qc5+ 24. Kh1 Ke7 25. fxe5 Bxe5 26. Qe4 *
qy8Uv,r1b2rk1/pp3ppp/2pQ1n2/4B3/8/P1P3P1/2q2PBP/R3R1K1 b - - 1 15,f6g4 d6f8 g8f8 e5d6 f8g8 e1e8,1458,75,94,20345,attraction backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/zQ8A1U2V/black#29,Englund_Gambit_Complex Englund_Gambit_Complex_Englund_Gambit,1912430,zQ8A1U2V,1. d4 e5 2. dxe5 Nc6 3. Nf3 Qe7 4. Nc3 Nxe5 5. Nxe5 Qxe5 6. g3 Bb4 7. Bd2 Nf6 8. Bg2 d6 9. O-O c6 10. Bf4 Qe6 11. a3 Bxc3 12. bxc3 O-O 13. Qxd6 Qxe2 14. Rfe1 Qxc2 15. Be5 *
gKoGy,r4r1k/1b3ppp/p2b4/1pB2q2/4P3/P2P2P1/BPP3QP/R5K1 w - - 0 22,e4f5 d6c5 g1f1 b7g2,1490,78,94,19644,advantage hangingPiece kingsideAttack middlegame short,https://lichess.org/lZZnIqN2#42,,1846536,lZZnIqN2,1. e4 c5 2. Bc4 Nc6 3. a3 e6 4. Nc3 d5 5. exd5 exd5 6. Nxd5 Nf6 7. Nc3 Nd4 8. d3 a6 9. Nge2 b5 10. Ba2 Bb7 11. O-O Be7 12. Nxd4 Qxd4 13. Be3 Qh4 14. f3 Bd6 15. g3 Qh3 16. Qe2 O-O 17. Qg2 Qh5 18. Ne4 Nxe4 19. fxe4 Kh8 20. Rf5 Qg6 21. Bxc5 Qxf5 *
JydUg,8/4k2p/4P2p/8/1b4P1/1Bp4P/p2p2K1/3R4 w - - 0 46,b3a2 c3c2 a2b3 c2c1q,1272,74,95,21128,advancedPawn crushing endgame promotion short,https://lichess.org/UtE5SAtN#90,,2007160,UtE5SAtN,1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. f4 Qb6 6. Nf3 Nge7 7. Be2 Nf5 8. g4 Nh6 9. h3 Be7 10. a3 cxd4 11. cxd4 O-O 12. Nc3 f6 13. b4 fxe5 14. fxe5 Bd7 15. Bxh6 gxh6 16. O-O a5 17. b5 Nxd4 18. Nxd4 Bc5 19. Kh1 Bxd4 20. Qd2 Be3 21. Qd3 d4 22. Ne4 Rac8 23. Nf6+ Rxf6 24. Rxf6 Rc3 25. Qe4 Bg5 26. Bd3 Bc6 27. bxc6 Qxc6 28. Qxc6 bxc6 29. Rf3 Be3 30. Be4 c5 31. Raf1 Rc1 32. Rxc1 Bxc1 33. Rf1 Bxa3 34. Rd1 Bb4 35. Bd3 a4 36. Bc4 a3 37. Bxe6+ Kf8 38. Ba2 Ke7 39. Rf1 d3 40. Rf7+ Ke8 41. Rf1 d2 42. Rd1 Ke7 43. Kg2 c4 44. e6 c3 45. Bb3 a2 *
y4WX4,2q3k1/pp2p1P1/3p3n/2r4P/3Q4/2P2R2/P2K4/8 b - - 0 31,c8e6 f3f8 g8h7 f8h8,1398,75,96,13967,endgame mate mateIn2 short,https://lichess.org/AhYtYHKz/black#61,,1340832,AhYtYHKz,1. d4 Nf6 2. c4 g6 3. Nf3 Bg7 4. Nc3 O-O 5. e4 d6 6. Bg5 Kh8 7. e5 Ng8 8. h4 h6 9. Bf4 h5 10. Bd3 Nh6 11. Qd2 Kh7 12. O-O-O Bg4 13. Rdg1 Nc6 14. exd6 cxd6 15. Nh2 Nxd4 16. Nxg4 Nxg4 17. Bxg6+ fxg6 18. f3 Nh6 19. g4 Nxf3 20. Qd5 Rxf4 21. Rf1 Qf8 22. gxh5 Rc8 23. hxg6+ Kh8 24. Rh3 Rcxc4 25. Rfxf3 Rxf3 26. Rxf3 Bf6 27. h5 Qc8 28. Kd2 Bxc3+ 29. bxc3 Rc5 30. Qd4+ Kg8 31. g7 *
vIq5k,7q/7P/Q5P1/4n3/5P2/4P3/1p4K1/1k6 b - - 0 53,e5g6 a6g6 b1c1 g6g8 h8g8 h7g8q,1295,76,97,14056,advancedPawn crushing endgame hangingPiece long promotion,https://lichess.org/tDlZWUXr/black#105,,1363432,tDlZWUXr,1. d4 Nf6 2. Nf3 d5 3. c4 c6 4. Nc3 e6 5. cxd5 exd5 6. Bf4 Bf5 7. a3 Bd6 8. Bxd6 Qxd6 9. h3 O-O 10. e3 Nbd7 11. Bd3 Ne4 12. Qc2 Rfe8 13. Nd2 Nxc3 14. Bxf5 Ne4 15. Nxe4 dxe4 16. Bxe4 Nf6 17. Bf3 Qxd4 18. O-O Qe5 19. Rfd1 Rad8 20. Qb3 Qc7 21. Qc4 g6 22. b4 a6 23. a4 Rxd1+ 24. Rxd1 Rd8 25. Rxd8+ Qxd8 26. b5 axb5 27. axb5 cxb5 28. Qxb5 b6 29. Qc6 Kg7 30. g3 Qb8 31. Qb5 Ne8 32. Kg2 Nd6 33. Qe5+ Kg8 34. h4 h5 35. Qg5 b5 36. Bxh5 b4 37. Bxg6 fxg6 38. Qxg6+ Kf8 39. Qh6+ Ke7 40. Qg5+ Kd7 41. Qg7+ Kc6 42. Qb2 b3 43. h5 Nc4 44. Qb1 b2 45. h6 Qh8 46. h7 Kc5 47. g4 Kb4 48. g5 Kb3 49. g6 Ne5 50. Qd1+ Ka3 51. Qd6+ Ka2 52. Qa6+ Kb1 53. f4 *
IcFmo,7k/7p/2p2p2/1pN5/pr6/1P2BPP1/P6K/8 w - - 0 37,c5d3 a4b3 d3b4 b3b2 e3d4 b2b1q,1584,75,96,19908,advancedPawn crushing endgame long promotion sacrifice,https://lichess.org/qnBNG0iw#72,,1911168,qnBNG0iw,1. e4 e5 2. Nf3 Nc6 3. c3 Nf6 4. d4 exd4 5. e5 Ne4 6. cxd4 d5 7. exd6 Nxd6 8. Bb5 Nxb5 9. Qe2+ Be7 10. Qxb5 O-O 11. O-O Nxd4 12. Nxd4 Qxd4 13. Nc3 Bd6 14. Qh5 Bg4 15. Qh4 Qe5 16. Be3 Rfe8 17. Rae1 g5 18. Bxg5 Qxe1 19. Qxg4 Bxh2+ 20. Kxh2 Qe5+ 21. Bf4+ Qg7 22. Qf3 c6 23. Rd1 Re7 24. Rd6 Rae8 25. Bh6 Qe5+ 26. Bf4 Qf5 27. Qg3+ Kh8 28. Qg5 Qxg5 29. Bxg5 Re6 30. Rxe6 Rxe6 31. Be3 a5 32. Na4 Re4 33. Nc5 Rb4 34. g3 f6 35. b3 b5 36. f3 a4 *
UVgpQ,2k1r2r/ppp2Rpp/8/1Qb5/8/P1P1q3/1P4PP/R6K b - - 0 21,h8f8 b5d7 c8b8 d7c7 b8a8 c7b7,1529,75,97,16672,long mate mateIn3 middlegame queensideAttack,https://lichess.org/4s8Ar6f1/black#41,,1617184,4s8Ar6f1,1. e4 Nc6 2. d4 d5 3. exd5 Qxd5 4. Nf3 e5 5. Nc3 Qd6 6. Nb5 Qb4+ 7. Nc3 exd4 8. a3 Qe7+ 9. Ne2 Bg4 10. Nxd4 Nxd4 11. Be3 Nxe2 12. Bxe2 Bxe2 13. Qxe2 O-O-O 14. O-O Nf6 15. c3 Re8 16. Qf3 Qe4 17. Qe2 Ng4 18. Qb5 Nxe3 19. fxe3 Qxe3+ 20. Kh1 Bc5 21. Rxf7 *
cFAgO,2r2r1k/1p1b1p2/pq2pP2/3p4/1b1P2p1/2N1B3/PP2QP1P/2R2RK1 w - - 0 21,e2g4 f8g8 e3g5 g8g5 g4g5 c8g8,1625,73,96,20276,advantage clearance long middlegame pin sacrifice,https://lichess.org/5UTnJxj2#40,,1946496,5UTnJxj2,1. e4 e6 2. d4 d5 3. e5 a6 4. Nf3 c5 5. c3 Nc6 6. Be3 cxd4 7. cxd4 Bd7 8. Bd3 Qb6 9. Qd2 Rc8 10. O-O Nb4 11. Nc3 Nxd3 12. Qxd3 Bb4 13. Qc2 Ne7 14. Rac1 O-O 15. Ng5 Nf5 16. g4 h6 17. gxf5 hxg5 18. f6 gxf6 19. exf6 Kh8 20. Qe2 g4 *
KtyFN,1k1r3r/2p1qpp1/pp3n1p/1b1pN3/P2QPP1P/4B3/1PP3P1/R3K2R b KQ - 0 19,d5e4 a4b5 d8d4 e5c6 b8b7 c6e7,1491,73,96,20957,crushing fork long middlegame sacrifice,https://lichess.org/rcT0ggCV/black#37,Scotch_Game Scotch_Game_Other_variations,2011872,rcT0ggCV,1. e4 e5 2. d4 exd4 3. Nf3 Nc6 4. Bg5 Be7 5. h4 h6 6. Bc1 d6 7. Bb5 Bd7 8. Qe2 a6 9. Bxc6 Bxc6 10. Qc4 Bf6 11. Nxd4 Bxd4 12. Qxd4 Nf6 13. f3 Qe7 14. Nd2 O-O-O 15. Nc4 d5 16. Ne5 Bb5 17. f4 Kb8 18. Be3 b6 19. a4 *
d7EVL,6k1/3bpp1p/3p2p1/2n5/4P3/1q5P/2N2PP1/rB1QR1K1 b - - 5 29,c5e4 c2a1 b3d1 e1d1,1514,77,95,12998,advantage hangingPiece middlegame short,https://lichess.org/74RXKuK9/black#57,,1234810,74RXKuK9,1. e4 c5 2. Nf3 d6 3. h3 Nc6 4. Bc4 Nf6 5. d3 g6 6. O-O Bg7 7. Re1 O-O 8. Nc3 a6 9. a3 b5 10. Ba2 b4 11. Ne2 a5 12. axb4 axb4 13. c3 Be6 14. b3 bxc3 15. Nxc3 Nb4 16. Re2 Nd7 17. d4 cxd4 18. Nxd4 Nc5 19. Bb2 Bd7 20. Bb1 Rxa1 21. Bxa1 Qa8 22. Bb2 Qb7 23. Na2 Ra8 24. Nxb4 Qxb4 25. Nc2 Qxb3 26. Bxg7 Kxg7 27. Qd4+ Kg8 28. Qd1 Ra1 29. Re1 *
KwtBg,4R3/8/6p1/5p2/3P1k1p/7P/1r3KP1/8 w - - 7 51,e8e2 b2e2 f2e2 f4e4,1598,76,96,13940,crushing endgame master masterVsMaster rookEndgame short,https://lichess.org/OU8L0HKO#100,,1338240,OU8L0HKO,1. e4 c5 2. Nc3 e6 3. f4 d5 4. Bb5+ Nc6 5. exd5 exd5 6. Nf3 d4 7. Ne4 Nf6 8. Nxf6+ Qxf6 9. O-O Be7 10. Ne5 O-O 11. Nxc6 bxc6 12. Bc4 Be6 13. Bxe6 Qxe6 14. d3 c4 15. Bd2 Bc5 16. Qf3 Qd5 17. Qg3 Rae8 18. Rae1 c3 19. Bc1 cxb2 20. Bxb2 Qxa2 21. Bc1 Qxc2 22. f5 Kh8 23. f6 g6 24. Bh6 Rxe1 25. Rxe1 Rd8 26. Qe5 Bf8 27. Bxf8 Rxf8 28. Qd6 Rg8 29. Qe7 Qd2 30. h3 a5 31. Kh1 a4 32. Ra1 Qc3 33. Rg1 Qb3 34. Ra1 h5 35. Ra3 Qe6 36. Rxa4 Qxe7 37. fxe7 Re8 38. Ra7 Kg7 39. Rc7 c5 40. Rxc5 Rxe7 41. Rd5 f5 42. Rxd4 Kf6 43. Kh2 Re1 44. Rd8 Kg5 45. Kg3 h4+ 46. Kf2 Rb1 47. d4 Rb2+ 48. Kf3 Rb3+ 49. Kf2 Kf4 50. Re8 Rb2+ *
46e4A,1r5r/1Qp1q1bp/5kp1/5b2/2B1pB2/8/PP3PPP/R4RK1 w - - 2 21,b7c7 e7c7 f4c7 b8c8,1641,74,96,15492,advantage middlegame short,https://lichess.org/ZU0zK5tG#40,,1487232,ZU0zK5tG,1. e4 e6 2. d4 d5 3. exd5 exd5 4. c4 dxc4 5. Bxc4 Nc6 6. Nc3 Bd7 7. Nf3 Qe7+ 8. Be2 O-O-O 9. Bf4 f5 10. O-O Nf6 11. Ne5 Nxe5 12. dxe5 Ne4 13. Nxe4 fxe4 14. Qc2 Bf5 15. Qa4 g6 16. Qxa7 Bg7 17. Qa8+ Kd7 18. Qxb7 Rb8 19. e6+ Kxe6 20. Bc4+ Kf6 *
6uzOK,1nr3k1/6p1/4qpQP/1p1p1p2/1P1P4/8/5PP1/6K1 b - - 0 35,e6f7 h6h7 g8h8 g6f7,1214,75,94,13845,advancedPawn advantage deflection endgame short,https://lichess.org/93S8HKJy/black#69,,1301430,93S8HKJy,1. e4 c6 2. Nf3 d5 3. e5 Bf5 4. d4 e6 5. c3 c5 6. Bd3 cxd4 7. Bxf5 exf5 8. cxd4 Bb4+ 9. Bd2 Bxd2+ 10. Qxd2 Nc6 11. O-O Nge7 12. a3 O-O 13. b4 a6 14. Nc3 Rc8 15. Na4 b5 16. Nc5 a5 17. Nb7 Qb6 18. Nd6 axb4 19. Nxc8 Rxc8 20. axb4 Ng6 21. Ra2 h6 22. Rfa1 Kh7 23. Ra8 Rc7 24. Re8 Nb8 25. Ra8 Qc6 26. h4 Qxa8 27. h5 Ne7 28. Ng5+ hxg5 29. Qxg5 Qb7 30. e6 f6 31. Qh4 Rc8 32. Rxe7 Qxe7 33. Qg3 Qxe6 34. Qg6+ Kg8 35. h6 *
d3twI,r2q1rk1/ppp3p1/2n1pn1p/4b3/7N/P1NP3P/1PP3P1/R1BQ1RK1 w - - 0 14,c1d2 d8d4 g1h1 d4h4,1451,74,96,26510,crushing fork opening short,https://lichess.org/2zBIZDfU#26,Scandinavian_Defense Scandinavian_Defense_Mieses-Kotroc_Variation,2544960,2zBIZDfU,1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 Nf6 5. d3 Bf5 6. Nf3 Nc6 7. h3 h6 8. a3 e5 9. O-O Bd6 10. Nh4 Be6 11. Bxe6 fxe6 12. f4 O-O 13. fxe5 Bxe5 *
MKCXC,rnb1kb1r/pp3ppp/2p2q2/8/4P3/2pB4/PPPP2PP/R1BQK1NR w KQkq - 0 8,g1f3 c3b2 c1b2 f6b2,1619,74,95,21268,advancedPawn advantage fork opening short trappedPiece,https://lichess.org/4Y7iCKmD#14,Vienna_Game Vienna_Game_Vienna_Gambit,2020460,4Y7iCKmD,1. e4 e5 2. f4 d5 3. Nc3 Nf6 4. Bb5+ c6 5. Bd3 d4 6. fxe5 dxc3 7. exf6 Qxf6 *
